"Date","Price","Open","High","Low","Vol.","Change %"
"21-06-2024","207.49","210.39","211.85","207.32","85.13M","-1.04%"
"20-06-2024","209.68","213.93","214.18","208.86","86.00M","-2.15%"
"18-06-2024","214.29","217.59","218.61","213.02","79.69M","-1.10%"
"17-06-2024","216.67","213.37","218.95","212.72","93.73M","1.97%"
"14-06-2024","212.49","213.85","215.17","211.30","70.12M","-0.82%"
"13-06-2024","214.24","214.74","216.75","211.60","97.86M","0.55%"
"12-06-2024","213.07","207.37","220.20","206.90","198.13M","2.86%"
"11-06-2024","207.15","193.65","207.16","193.63","172.37M","7.26%"
"10-06-2024","193.12","196.90","197.30","192.15","97.26M","-1.91%"
"07-06-2024","196.89","194.65","196.94","194.14","53.10M","1.24%"
"06-06-2024","194.48","195.68","196.50","194.17","41.18M","-0.71%"
"05-06-2024","195.87","195.40","196.90","194.87","54.16M","0.78%"
"04-06-2024","194.35","194.63","195.32","193.03","47.47M","0.16%"
"03-06-2024","194.03","192.90","194.99","192.52","50.08M","0.93%"
"31-05-2024","192.25","191.44","192.57","189.91","75.16M","0.50%"
"30-05-2024","191.29","190.76","192.18","190.63","49.95M","0.53%"
"29-05-2024","190.29","189.61","192.25","189.51","53.07M","0.16%"
"28-05-2024","189.99","191.51","193.00","189.10","52.28M","0.01%"
"24-05-2024","189.98","188.82","190.58","188.04","36.33M","1.66%"
"23-05-2024","186.88","190.98","191.00","186.62","51.01M","-2.11%"
"22-05-2024","190.90","192.26","192.82","190.27","34.65M","-0.75%"
